SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	POPULATION	SUPER_POPULATION	FAMILY_ID	GENDER	RELATIONSHIP	FAMILY_TYPE	
HG01049		PATIENT 		PUR	Ad Mixed American	PR08	FEMALE	MOTHER	TRIO	
HG01050		PATIENT 		PUR	Ad Mixed American	PR08	FEMALE	CHILD	TRIO	
HG01051		PATIENT 		PUR	Ad Mixed American	PR11	MALE	FATHER	TRIO	
HG01052		PATIENT 		PUR	Ad Mixed American	PR11	FEMALE	MOTHER	TRIO	
HG01053		PATIENT 		PUR	Ad Mixed American	PR11	FEMALE	CHILD	TRIO	
HG01054		PATIENT 		PUR	Ad Mixed American	PR12	MALE	FATHER	TRIO	
HG01055		PATIENT 		PUR	Ad Mixed American	PR12	FEMALE	MOTHER	TRIO	
HG01056		PATIENT 		PUR	Ad Mixed American	PR12	MALE	CHILD	TRIO	
HG01060		PATIENT 		PUR	Ad Mixed American	PR14	MALE	FATHER	TRIO	
HG01061		PATIENT 		PUR	Ad Mixed American	PR14	FEMALE	MOTHER	TRIO	
HG01062		PATIENT 		PUR	Ad Mixed American	PR14	FEMALE	CHILD	TRIO	
HG01066		PATIENT 		PUR	Ad Mixed American	PR16	MALE	FATHER	TRIO	
HG01067		PATIENT 		PUR	Ad Mixed American	PR16	FEMALE	MOTHER	TRIO	
HG01068		PATIENT 		PUR	Ad Mixed American	PR16	FEMALE	CHILD	TRIO	
HG01069		PATIENT 		PUR	Ad Mixed American	PR17	MALE	FATHER	TRIO	
HG01070		PATIENT 		PUR	Ad Mixed American	PR17	FEMALE	MOTHER	TRIO	
HG01071		PATIENT 		PUR	Ad Mixed American	PR17	FEMALE	CHILD	TRIO	
HG01072		PATIENT 		PUR	Ad Mixed American	PR18	MALE	FATHER	TRIO	
HG01073		PATIENT 		PUR	Ad Mixed American	PR18	FEMALE	MOTHER	TRIO	
HG01074		PATIENT 		PUR	Ad Mixed American	PR18	MALE	CHILD	TRIO	
HG01075		PATIENT 		PUR	Ad Mixed American	PR01	MALE	FATHER	TRIO	
HG01079		PATIENT 		PUR	Ad Mixed American	PR21	MALE	FATHER	TRIO	
HG01080		PATIENT 		PUR	Ad Mixed American	PR21	FEMALE	MOTHER	TRIO	
HG01081		PATIENT 		PUR	Ad Mixed American	PR21	FEMALE	CHILD	TRIO	
HG01082		PATIENT 		PUR	Ad Mixed American	PR28	MALE	FATHER	TRIO	
HG01083		PATIENT 		PUR	Ad Mixed American	PR28	FEMALE	MOTHER	TRIO	
HG01084		PATIENT 		PUR	Ad Mixed American	PR28	FEMALE	CHILD	TRIO	
HG01085		PATIENT 		PUR	Ad Mixed American	PR26	MALE	FATHER	TRIO	
HG01086		PATIENT 		PUR	Ad Mixed American	PR26	FEMALE	MOTHER	TRIO	
HG01087		PATIENT 		PUR	Ad Mixed American	PR26	FEMALE	CHILD	TRIO	
HG01094		PATIENT 		PUR	Ad Mixed American	PR29	MALE	FATHER	TRIO	
HG01095		PATIENT 		PUR	Ad Mixed American	PR29	FEMALE	MOTHER	TRIO	
HG01096		PATIENT 		PUR	Ad Mixed American	PR29	MALE	CHILD	TRIO	
HG01097		PATIENT 		PUR	Ad Mixed American	PR31	MALE	FATHER	TRIO	
HG01098		PATIENT 		PUR	Ad Mixed American	PR31	FEMALE	MOTHER	TRIO	
HG01099		PATIENT 		PUR	Ad Mixed American	PR31	MALE	CHILD	TRIO	
HG01100		PATIENT 		PUR	Ad Mixed American	PR32	FEMALE	CHILD	TRIO	
HG01101		PATIENT 		PUR	Ad Mixed American	PR19	MALE	FATHER	TRIO	
HG01102		PATIENT 		PUR	Ad Mixed American	PR19	FEMALE	MOTHER	TRIO	
HG01103		PATIENT 		PUR	Ad Mixed American	PR19	FEMALE	CHILD	TRIO	
HG01104		PATIENT 		PUR	Ad Mixed American	PR25	MALE	FATHER	TRIO	
HG01105		PATIENT 		PUR	Ad Mixed American	PR25	FEMALE	MOTHER	TRIO	
HG01106		PATIENT 		PUR	Ad Mixed American	PR25	MALE	CHILD	TRIO	
HG01107		PATIENT 		PUR	Ad Mixed American	PR33	MALE	FATHER	TRIO	
HG01108		PATIENT 		PUR	Ad Mixed American	PR33	FEMALE	MOTHER	TRIO	
HG01109		PATIENT 		PUR	Ad Mixed American	PR33	MALE	CHILD	TRIO	
HG01110		PATIENT 		PUR	Ad Mixed American	PR34	MALE	FATHER	TRIO	
HG01111		PATIENT 		PUR	Ad Mixed American	PR34	FEMALE	MOTHER	TRIO	
HG01112		PATIENT 		CLM	Ad Mixed American	CLM03	MALE	FATHER	TRIO	
HG01113		PATIENT 		CLM	Ad Mixed American	CLM03	FEMALE	MOTHER	TRIO	
HG01114		PATIENT 		CLM	Ad Mixed American	CLM03	FEMALE	CHILD	TRIO	
HG01124		PATIENT 		CLM	Ad Mixed American	CLM04	MALE	FATHER	TRIO	
HG01125		PATIENT 		CLM	Ad Mixed American	CLM04	FEMALE	MOTHER	TRIO	
HG01126		PATIENT 		CLM	Ad Mixed American	CLM04	MALE	CHILD	TRIO	
HG01133		PATIENT 		CLM	Ad Mixed American	CLM07	MALE	FATHER	TRIO	
HG01134		PATIENT 		CLM	Ad Mixed American	CLM07	FEMALE	MOTHER	TRIO	
HG01135		PATIENT 		CLM	Ad Mixed American	CLM07	MALE	CHILD	TRIO	
HG01136		PATIENT 		CLM	Ad Mixed American	CLM08	MALE	FATHER	TRIO	
HG01137		PATIENT 		CLM	Ad Mixed American	CLM08	FEMALE	MOTHER	TRIO	
HG01138		PATIENT 		CLM	Ad Mixed American	CLM08	MALE	CHILD	TRIO	
HG01139		PATIENT 		CLM	Ad Mixed American	CLM09	MALE	FATHER	TRIO	
HG01140		PATIENT 		CLM	Ad Mixed American	CLM09	FEMALE	MOTHER	TRIO	
HG01141		PATIENT 		CLM	Ad Mixed American	CLM09	FEMALE	CHILD	TRIO	
HG01148		PATIENT 		CLM	Ad Mixed American	CLM12	MALE	FATHER	TRIO	
HG01149		PATIENT 		CLM	Ad Mixed American	CLM12	FEMALE	MOTHER	TRIO	
HG01150		PATIENT 		CLM	Ad Mixed American	CLM12	FEMALE	CHILD	TRIO	
HG01167		PATIENT 		PUR	Ad Mixed American	PR39	MALE	FATHER	TRIO	
HG01168		PATIENT 		PUR	Ad Mixed American	PR39	FEMALE	MOTHER	TRIO	
HG01169		PATIENT 		PUR	Ad Mixed American	PR39	FEMALE	CHILD	TRIO	
HG01170		PATIENT 		PUR	Ad Mixed American	PR24	MALE	FATHER	TRIO	
HG01171		PATIENT 		PUR	Ad Mixed American	PR24	FEMALE	MOTHER	TRIO	
HG01172		PATIENT 		PUR	Ad Mixed American	PR24	MALE	CHILD	TRIO	
HG01173		PATIENT 		PUR	Ad Mixed American	PR36	MALE	FATHER	TRIO	
HG01174		PATIENT 		PUR	Ad Mixed American	PR36	FEMALE	MOTHER	TRIO	
HG01175		PATIENT 		PUR	Ad Mixed American	PR36	FEMALE	CHILD	TRIO	
HG01176		PATIENT 		PUR	Ad Mixed American	PR42	MALE	FATHER	TRIO	
HG01177		PATIENT 		PUR	Ad Mixed American	PR42	FEMALE	MOTHER	TRIO	
HG01178		PATIENT 		PUR	Ad Mixed American	PR42	MALE	CHILD	TRIO	
HG01179		PATIENT 		PUR	Ad Mixed American	PR43	MALE	FATHER	TRIO	
HG01180		PATIENT 		PUR	Ad Mixed American	PR43	FEMALE	MOTHER	TRIO	
HG01181		PATIENT 		PUR	Ad Mixed American	PR43	MALE	CHILD	TRIO	
HG01182		PATIENT 		PUR	Ad Mixed American	PR44	MALE	FATHER	TRIO	
HG01183		PATIENT 		PUR	Ad Mixed American	PR44	FEMALE	MOTHER	TRIO	
HG01184		PATIENT 		PUR	Ad Mixed American	PR44	FEMALE	CHILD	TRIO	
HG01187		PATIENT 		PUR	Ad Mixed American	PR38	MALE	FATHER	TRIO	
HG01188		PATIENT 		PUR	Ad Mixed American	PR38	FEMALE	MOTHER	TRIO	
HG01189		PATIENT 		PUR	Ad Mixed American	PR38	MALE	CHILD	TRIO	
HG01190		PATIENT 		PUR	Ad Mixed American	PR40	MALE	FATHER	TRIO	
HG01191		PATIENT 		PUR	Ad Mixed American	PR40	FEMALE	MOTHER	TRIO	
HG01192		PATIENT 		PUR	Ad Mixed American	PR40	MALE	CHILD	TRIO	
HG01197		PATIENT 		PUR	Ad Mixed American	PR46	MALE	FATHER	TRIO	
HG01198		PATIENT 		PUR	Ad Mixed American	PR46	FEMALE	MOTHER	TRIO	
HG01199		PATIENT 		PUR	Ad Mixed American	PR46	MALE	CHILD	TRIO	
HG01204		PATIENT 		PUR	Ad Mixed American	PR49	MALE	FATHER	TRIO	
HG01205		PATIENT 		PUR	Ad Mixed American	PR49	FEMALE	MOTHER	TRIO	
HG01206		PATIENT 		PUR	Ad Mixed American	PR49	MALE	CHILD	TRIO	
HG01241		PATIENT 		PUR	Ad Mixed American	PR22	MALE	FATHER	TRIO	
HG01242		PATIENT 		PUR	Ad Mixed American	PR22	FEMALE	MOTHER	TRIO	
HG01243		PATIENT 		PUR	Ad Mixed American	PR22	MALE	CHILD	TRIO	
HG01247		PATIENT 		PUR	Ad Mixed American	PR32	MALE	FATHER	TRIO	
HG01248		PATIENT 		PUR	Ad Mixed American	PR32	FEMALE	MOTHER	TRIO	
HG01249		PATIENT 		PUR	Ad Mixed American	PR34	FEMALE	CHILD	TRIO	
HG01250		PATIENT 		CLM	Ad Mixed American	CLM14	MALE	FATHER	TRIO	
HG01251		PATIENT 		CLM	Ad Mixed American	CLM14	FEMALE	MOTHER	TRIO	
HG01252		PATIENT 		CLM	Ad Mixed American	CLM14	MALE	CHILD	TRIO	
HG01253		PATIENT 		CLM	Ad Mixed American	CLM15	MALE	FATHER	TRIO	
HG01254		PATIENT 		CLM	Ad Mixed American	CLM15	FEMALE	MOTHER	TRIO	
HG01255		PATIENT 		CLM	Ad Mixed American	CLM15	MALE	CHILD	TRIO	
HG01256		PATIENT 		CLM	Ad Mixed American	CLM16	MALE	FATHER	TRIO	
HG01257		PATIENT 		CLM	Ad Mixed American	CLM16	FEMALE	MOTHER	TRIO	
HG01258		PATIENT 		CLM	Ad Mixed American	CLM16	MALE	CHILD	TRIO	
HG01259		PATIENT 		CLM	Ad Mixed American	CLM17	MALE	FATHER	TRIO	
HG01260		PATIENT 		CLM	Ad Mixed American	CLM17	FEMALE	MOTHER	TRIO	
HG01261		PATIENT 		CLM	Ad Mixed American	CLM17	MALE	CHILD	TRIO	
HG01271		PATIENT 		CLM	Ad Mixed American	CLM21	MALE	FATHER	TRIO	
HG01272		PATIENT 		CLM	Ad Mixed American	CLM21	FEMALE	MOTHER	TRIO	
HG01273		PATIENT 		CLM	Ad Mixed American	CLM21	MALE	CHILD	TRIO	
HG01274		PATIENT 		CLM	Ad Mixed American	CLM22	MALE	FATHER	TRIO	
HG01275		PATIENT 		CLM	Ad Mixed American	CLM22	FEMALE	MOTHER	TRIO	
HG01276		PATIENT 		CLM	Ad Mixed American	CLM22	FEMALE	CHILD	TRIO	
HG01277		PATIENT 		CLM	Ad Mixed American	CLM23	MALE	FATHER	TRIO	
HG01278		PATIENT 		CLM	Ad Mixed American	CLM23	FEMALE	MOTHER	TRIO	
HG01279		PATIENT 		CLM	Ad Mixed American	CLM23	FEMALE	CHILD	TRIO	
HG01313		PATIENT 		PUR	Ad Mixed American	PR64	MALE	FATHER	TRIO	
HG01314		PATIENT 		PUR	Ad Mixed American	PR64	FEMALE	MOTHER	TRIO	
HG01315		PATIENT 		PUR	Ad Mixed American	PR64	FEMALE	CHILD	TRIO	
HG01316		PATIENT 		PUR	Ad Mixed American	PR65	MALE	FATHER	TRIO	
HG01317		PATIENT 		PUR	Ad Mixed American	PR65	FEMALE	MOTHER	TRIO	
HG01318		PATIENT 		PUR	Ad Mixed American	PR65	MALE	CHILD	TRIO	
HG01319		PATIENT 		PUR	Ad Mixed American	PR66	MALE	FATHER	TRIO	
HG01320		PATIENT 		PUR	Ad Mixed American	PR66	FEMALE	MOTHER	TRIO	
HG01321		PATIENT 		PUR	Ad Mixed American	PR66	FEMALE	CHILD	TRIO	
HG01328		PATIENT 		PUR	Ad Mixed American	PR69	MALE	FATHER	TRIO	
HG01329		PATIENT 		PUR	Ad Mixed American	PR69	FEMALE	MOTHER	TRIO	
HG01330		PATIENT 		PUR	Ad Mixed American	PR69	MALE	CHILD	UNREL	
HG01334		PATIENT 		GBR	European		MALE		TRIO	
HG01341		PATIENT 		CLM	Ad Mixed American	CLM26	MALE	FATHER	TRIO	
HG01342		PATIENT 		CLM	Ad Mixed American	CLM26	FEMALE	MOTHER	TRIO	
HG01343		PATIENT 		CLM	Ad Mixed American	CLM26	FEMALE	CHILD	TRIO	
HG01344		PATIENT 		CLM	Ad Mixed American	CLM27	MALE	FATHER	TRIO	
HG01345		PATIENT 		CLM	Ad Mixed American	CLM27	FEMALE	MOTHER	TRIO	
HG01346		PATIENT 		CLM	Ad Mixed American	CLM27	FEMALE	CHILD	TRIO	
HG01347		PATIENT 		CLM	Ad Mixed American	CLM28	MALE	FATHER	TRIO	
HG01348		PATIENT 		CLM	Ad Mixed American	CLM28	FEMALE	MOTHER	TRIO	
HG01349		PATIENT 		CLM	Ad Mixed American	CLM28	FEMALE	CHILD	TRIO	
HG01350		PATIENT 		CLM	Ad Mixed American	CLM29	MALE	FATHER	TRIO	
HG01351		PATIENT 		CLM	Ad Mixed American	CLM29	FEMALE	MOTHER	TRIO	
HG01352		PATIENT 		CLM	Ad Mixed American	CLM29	FEMALE	CHILD	TRIO	
HG01353		PATIENT 		CLM	Ad Mixed American	CLM30	MALE	FATHER	TRIO	
HG01354		PATIENT 		CLM	Ad Mixed American	CLM30	FEMALE	MOTHER	TRIO	
HG01355		PATIENT 		CLM	Ad Mixed American	CLM30	FEMALE	CHILD	TRIO	
HG01356		PATIENT 		CLM	Ad Mixed American	CLM31	MALE	FATHER	TRIO	
HG01357		PATIENT 		CLM	Ad Mixed American	CLM31	FEMALE	MOTHER	TRIO	
HG01358		PATIENT 		CLM	Ad Mixed American	CLM31	MALE	CHILD	TRIO	
HG01359		PATIENT 		CLM	Ad Mixed American	CLM32	MALE	FATHER	TRIO	
HG01360		PATIENT 		CLM	Ad Mixed American	CLM32	FEMALE	MOTHER	TRIO	
HG01361		PATIENT 		CLM	Ad Mixed American	CLM32	FEMALE	CHILD	TRIO	
HG01365		PATIENT 		CLM	Ad Mixed American	CLM34	MALE	FATHER	TRIO	
HG01366		PATIENT 		CLM	Ad Mixed American	CLM34	FEMALE	MOTHER	TRIO	
HG01367		PATIENT 		CLM	Ad Mixed American	CLM34	FEMALE	CHILD	TRIO	
HG01374		PATIENT 		CLM	Ad Mixed American	CLM37	MALE	FATHER	TRIO	
HG01375		PATIENT 		CLM	Ad Mixed American	CLM37	FEMALE	MOTHER	TRIO	
HG01376		PATIENT 		CLM	Ad Mixed American	CLM37	FEMALE	CHILD	TRIO	
HG01377		PATIENT 		CLM	Ad Mixed American	CLM38	MALE	FATHER	TRIO	
HG01378		PATIENT 		CLM	Ad Mixed American	CLM38	FEMALE	MOTHER	TRIO	
HG01379		PATIENT 		CLM	Ad Mixed American	CLM38	FEMALE	CHILD	TRIO	
HG01383		PATIENT 		CLM	Ad Mixed American	CLM40	MALE	FATHER	TRIO	
HG01384		PATIENT 		CLM	Ad Mixed American	CLM40	FEMALE	MOTHER	TRIO	
HG01385		PATIENT 		CLM	Ad Mixed American	CLM40	FEMALE	CHILD	TRIO	
HG01389		PATIENT 		CLM	Ad Mixed American	CLM42	MALE	FATHER	TRIO	
HG01390		PATIENT 		CLM	Ad Mixed American	CLM42	FEMALE	MOTHER	TRIO	
HG01391		PATIENT 		CLM	Ad Mixed American	CLM42	FEMALE	CHILD	TRIO	
HG01401		PATIENT 		PUR	Ad Mixed American	PR73	FEMALE	CHILD	TRIO	
HG01416		PATIENT 		PUR	Ad Mixed American	PR73	MALE	FATHER	TRIO	
HG01417		PATIENT 		PUR	Ad Mixed American	PR73	FEMALE	MOTHER	TRIO	
HG01437		PATIENT 		CLM	Ad Mixed American	CLM45	MALE	FATHER	TRIO	
HG01438		PATIENT 		CLM	Ad Mixed American	CLM45	FEMALE	MOTHER	TRIO	
HG01439		PATIENT 		CLM	Ad Mixed American	CLM45	FEMALE	CHILD	TRIO	
HG01440		PATIENT 		CLM	Ad Mixed American	CLM46	MALE	FATHER	TRIO	
HG01441		PATIENT 		CLM	Ad Mixed American	CLM46	FEMALE	MOTHER	TRIO	
HG01442		PATIENT 		CLM	Ad Mixed American	CLM46	MALE	CHILD	TRIO	
HG01455		PATIENT 		CLM	Ad Mixed American	CLM51	MALE	FATHER	TRIO	
HG01456		PATIENT 		CLM	Ad Mixed American	CLM51	FEMALE	MOTHER	TRIO	
HG01457		PATIENT 		CLM	Ad Mixed American	CLM51	MALE	CHILD	TRIO	
HG01461		PATIENT 		CLM	Ad Mixed American	CLM53	MALE	FATHER	TRIO	
HG01462		PATIENT 		CLM	Ad Mixed American	CLM53	FEMALE	MOTHER	TRIO	
HG01463		PATIENT 		CLM	Ad Mixed American	CLM53	FEMALE	CHILD	TRIO	
HG01464		PATIENT 		CLM	Ad Mixed American	CLM54	MALE	FATHER	TRIO	
HG01465		PATIENT 		CLM	Ad Mixed American	CLM54	FEMALE	MOTHER	TRIO	
HG01466		PATIENT 		CLM	Ad Mixed American	CLM54	FEMALE	CHILD	TRIO	
HG01488		PATIENT 		CLM	Ad Mixed American	CLM62	MALE	FATHER	TRIO	
HG01489		PATIENT 		CLM	Ad Mixed American	CLM62	FEMALE	MOTHER	TRIO	
HG01490		PATIENT 		CLM	Ad Mixed American	CLM62	FEMALE	CHILD	TRIO	
HG01491		PATIENT 		CLM	Ad Mixed American	CLM63	MALE	FATHER	TRIO	
HG01492		PATIENT 		CLM	Ad Mixed American	CLM63	FEMALE	MOTHER	TRIO	
HG01493		PATIENT 		CLM	Ad Mixed American	CLM63	FEMALE	CHILD	TRIO	
HG01494		PATIENT 		CLM	Ad Mixed American	CLM64	MALE	FATHER	TRIO	
HG01495		PATIENT 		CLM	Ad Mixed American	CLM64	FEMALE	MOTHER	TRIO	
HG01496		PATIENT 		CLM	Ad Mixed American	CLM64	FEMALE	CHILD	TRIO	
HG01497		PATIENT 		CLM	Ad Mixed American	CLM65	MALE	FATHER	TRIO	
HG01498		PATIENT 		CLM	Ad Mixed American	CLM65	FEMALE	MOTHER	TRIO	
HG01499		PATIENT 		CLM	Ad Mixed American	CLM65	MALE	CHILD	TRIO	
HG01500		PATIENT 		IBS	European	IBS001	MALE	FATHER	TRIO	
HG01501		PATIENT 		IBS	European	IBS001	FEMALE	MOTHER	TRIO	
HG01502		PATIENT 		IBS	European	IBS001	MALE	CHILD	TRIO	
HG01503		PATIENT 		IBS	European	IBS002	MALE	FATHER	TRIO	
HG01504		PATIENT 		IBS	European	IBS002	FEMALE	MOTHER	TRIO	
HG01505		PATIENT 		IBS	European	IBS002	MALE	CHILD	TRIO	
HG01506		PATIENT 		IBS	European	IBS003	MALE	FATHER	TRIO	
HG01507		PATIENT 		IBS	European	IBS003	FEMALE	MOTHER	TRIO	
HG01508		PATIENT 		IBS	European	IBS003	MALE	CHILD	TRIO	
HG01509		PATIENT 		IBS	European	IBS004	MALE	FATHER	TRIO	
HG01510		PATIENT 		IBS	European	IBS004	FEMALE	MOTHER	TRIO	
HG01511		PATIENT 		IBS	European	IBS004	FEMALE	CHILD	TRIO	
HG01512		PATIENT 		IBS	European	IBS005	MALE	FATHER	TRIO	
HG01513		PATIENT 		IBS	European	IBS005	FEMALE	MOTHER	TRIO	
HG01514		PATIENT 		IBS	European	IBS005	FEMALE	CHILD	TRIO	
HG01515		PATIENT 		IBS	European	IBS006	MALE	FATHER	TRIO	
HG01516		PATIENT 		IBS	European	IBS006	FEMALE	MOTHER	TRIO	
HG01517		PATIENT 		IBS	European	IBS006	FEMALE	CHILD	TRIO	
HG01518		PATIENT 		IBS	European	IBS007	MALE	FATHER	TRIO	
HG01519		PATIENT 		IBS	European	IBS007	FEMALE	MOTHER	TRIO	
HG01520		PATIENT 		IBS	European	IBS007	FEMALE	CHILD	TRIO	
HG01521		PATIENT 		IBS	European	IBS008	MALE	FATHER	TRIO	
HG01522		PATIENT 		IBS	European	IBS008	FEMALE	MOTHER	TRIO	
HG01523		PATIENT 		IBS	European	IBS008	MALE	CHILD	TRIO	
HG01524		PATIENT 		IBS	European	IBS009	MALE	FATHER	TRIO	
HG01525		PATIENT 		IBS	European	IBS009	FEMALE	MOTHER	TRIO	
HG01526		PATIENT 		IBS	European	IBS009	MALE	CHILD	TRIO	
HG01527		PATIENT 		IBS	European	IBS010	MALE	FATHER	TRIO	
HG01528		PATIENT 		IBS	European	IBS010	FEMALE	MOTHER	TRIO	
HG01529		PATIENT 		IBS	European	IBS010	MALE	CHILD	TRIO	
HG01530		PATIENT 		IBS	European	IBS011	MALE	FATHER	TRIO	
HG01531		PATIENT 		IBS	European	IBS011	FEMALE	MOTHER	TRIO	
HG01532		PATIENT 		IBS	European	IBS011	MALE	CHILD	TRIO	
HG01536		PATIENT 		IBS	European	IBS013	MALE	FATHER	TRIO	
HG01537		PATIENT 		IBS	European	IBS013	FEMALE	MOTHER	TRIO	
HG01538		PATIENT 		IBS	European	IBS013	FEMALE	CHILD	TRIO	
HG01550		PATIENT 		CLM	Ad Mixed American	CLM66	MALE	FATHER	TRIO	
HG01551		PATIENT 		CLM	Ad Mixed American	CLM66	FEMALE	MOTHER	TRIO	
HG01552		PATIENT 		CLM	Ad Mixed American	CLM66	MALE	CHILD	TRIO	
HG01553		PATIENT 		CLM	Ad Mixed American	CLM67	MALE	FATHER	TRIO	
HG01554		PATIENT 		CLM	Ad Mixed American	CLM67	FEMALE	MOTHER	TRIO	
HG01555		PATIENT 		CLM	Ad Mixed American	CLM67	FEMALE	CHILD	TRIO	
HG01559		PATIENT 		CLM	Ad Mixed American	CLM69	MALE	FATHER	TRIO	
HG01560		PATIENT 		CLM	Ad Mixed American	CLM69	FEMALE	MOTHER	TRIO	
HG01561		PATIENT 		CLM	Ad Mixed American	CLM69	FEMALE	CHILD	TRIO	
HG01565		PATIENT 		PEL	Ad Mixed American	PEL001	MALE	FATHER	TRIO	
HG01566		PATIENT 		PEL	Ad Mixed American	PEL001	FEMALE	MOTHER	TRIO	
HG01567		PATIENT 		PEL	Ad Mixed American	PEL001	FEMALE	CHILD	TRIO	
HG01571		PATIENT 		PEL	Ad Mixed American	PEL003	MALE	FATHER	TRIO	
HG01572		PATIENT 		PEL	Ad Mixed American	PEL003	FEMALE	MOTHER	TRIO	
HG01573		PATIENT 		PEL	Ad Mixed American	PEL003	FEMALE	CHILD	TRIO	
HG01577		PATIENT 		PEL	Ad Mixed American	PEL005	MALE	FATHER	TRIO	
HG01578		PATIENT 		PEL	Ad Mixed American	PEL005	FEMALE	MOTHER	TRIO	
HG01579		PATIENT 		PEL	Ad Mixed American	PEL005	MALE	CHILD	UNREL	
HG01595		PATIENT 		KHV	East Asian	VN001	FEMALE		UNREL	
HG01596		PATIENT 		KHV	East Asian	VN002	MALE		UNREL	
HG01597		PATIENT 		KHV	East Asian	VN003	FEMALE		UNREL	
HG01598		PATIENT 		KHV	East Asian	VN004	FEMALE		UNREL	
HG01599		PATIENT 		KHV	East Asian	VN005	FEMALE		UNREL	
HG01600		PATIENT 		KHV	East Asian	VN006	FEMALE		TRIO	
HG01601		PATIENT 		IBS	European	IBS024	MALE	CHILD	TRIO	
HG01602		PATIENT 		IBS	European	IBS024	FEMALE	MOTHER	TRIO	
HG01603		PATIENT 		IBS	European	IBS024	MALE	FATHER	TRIO	
HG01604		PATIENT 		IBS	European	IBS023	FEMALE	CHILD	TRIO	
HG01605		PATIENT 		IBS	European	IBS023	FEMALE	MOTHER	TRIO	
HG01606		PATIENT 		IBS	European	IBS023	MALE	FATHER	TRIO	
HG01607		PATIENT 		IBS	European	IBS022	FEMALE	MOTHER	TRIO	
HG01608		PATIENT 		IBS	European	IBS022	MALE	FATHER	TRIO	
HG01609		PATIENT 		IBS	European	IBS022	MALE	CHILD	TRIO	
HG01610		PATIENT 		IBS	European	IBS021	MALE	FATHER	TRIO	
HG01611		PATIENT 		IBS	European	IBS021	MALE	CHILD	TRIO	
HG01612		PATIENT 		IBS	European	IBS021	FEMALE	MOTHER	TRIO	
HG01613		PATIENT 		IBS	European	IBS020	FEMALE	MOTHER	TRIO	
HG01614		PATIENT 		IBS	European	IBS020	FEMALE	CHILD	TRIO	
HG01615		PATIENT 		IBS	European	IBS020	MALE	FATHER	TRIO	
HG01616		PATIENT 		IBS	European	IBS019	FEMALE	CHILD	TRIO	
HG01617		PATIENT 		IBS	European	IBS019	MALE	FATHER	TRIO	
HG01618		PATIENT 		IBS	European	IBS019	FEMALE	MOTHER	TRIO	
HG01619		PATIENT 		IBS	European	IBS018	MALE	FATHER	TRIO	
HG01620		PATIENT 		IBS	European	IBS018	FEMALE	MOTHER	TRIO	
HG01621		PATIENT 		IBS	European	IBS018	MALE	CHILD	TRIO	
HG01622		PATIENT 		IBS	European	IBS017	FEMALE	CHILD	TRIO	
HG01623		PATIENT 		IBS	European	IBS017	FEMALE	MOTHER	TRIO	
HG01624		PATIENT 		IBS	European	IBS017	MALE	FATHER	TRIO	
HG01625		PATIENT 		IBS	European	IBS016	MALE	FATHER	TRIO	
HG01626		PATIENT 		IBS	European	IBS016	FEMALE	MOTHER	TRIO	
HG01627		PATIENT 		IBS	European	IBS016	MALE	CHILD	TRIO	
HG01628		PATIENT 		IBS	European	IBS015	FEMALE	MOTHER	TRIO	
HG01629		PATIENT 		IBS	European	IBS015	MALE	CHILD	TRIO	
HG01630		PATIENT 		IBS	European	IBS015	MALE	FATHER	TRIO	
HG01631		PATIENT 		IBS	European	IBS014	MALE	FATHER	TRIO	
HG01632		PATIENT 		IBS	European	IBS014	FEMALE	MOTHER	TRIO	
HG01633		PATIENT 		IBS	European	IBS014	MALE	CHILD	TRIO	
HG01667		PATIENT 		IBS	European	IBS025	MALE	CHILD	TRIO	
HG01668		PATIENT 		IBS	European	IBS025	FEMALE	MOTHER	TRIO	
HG01669		PATIENT 		IBS	European	IBS025	MALE	FATHER	TRIO	
HG01670		PATIENT 		IBS	European	IBS026	FEMALE	MOTHER	TRIO	
HG01671		PATIENT 		IBS	European	IBS026	MALE	CHILD	TRIO	
HG01672		PATIENT 		IBS	European	IBS026	MALE	FATHER	TRIO	
HG01673		PATIENT 		IBS	European	IBS027	FEMALE	MOTHER	TRIO	
HG01674		PATIENT 		IBS	European	IBS027	MALE	CHILD	TRIO	
HG01675		PATIENT 		IBS	European	IBS027	MALE	FATHER	TRIO	
HG01676		PATIENT 		IBS	European	IBS028	FEMALE	MOTHER	TRIO	
HG01677		PATIENT 		IBS	European	IBS028	FEMALE	CHILD	TRIO	
HG01678		PATIENT 		IBS	European	IBS028	MALE	FATHER	TRIO	
HG01679		PATIENT 		IBS	European	IBS029	FEMALE	MOTHER	TRIO	
HG01680		PATIENT 		IBS	European	IBS029	MALE	FATHER	TRIO	
HG01681		PATIENT 		IBS	European	IBS029	FEMALE	CHILD	TRIO	
HG01682		PATIENT 		IBS	European	IBS030	MALE	FATHER	TRIO	
HG01683		PATIENT 		IBS	European	IBS030	MALE	CHILD	TRIO	
HG01684		PATIENT 		IBS	European	IBS030	FEMALE	MOTHER	TRIO	
HG01685		PATIENT 		IBS	European	IBS031	FEMALE	MOTHER	TRIO	
HG01686		PATIENT 		IBS	European	IBS031	MALE	FATHER	TRIO	
HG01687		PATIENT 		IBS	European	IBS031	FEMALE	CHILD	TRIO	
HG01694		PATIENT 		IBS	European	IBS034	MALE	FATHER	TRIO	
