TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
ON_THERAPY_SURGERY_HIST_DIAG	OLIGODENDROGLIOMA	OLIGODENDROGLIOMA		OLIGODENDROGLIOMA
ON_THERAPY_SURGERY_HIST_DIAG	ASTROCYTOMA	ASTROCYTOMA		ASTROCYTOMA
ON_THERAPY_SURGERY_HIST_DIAG	TUMOR	TUMOR		TUMOR
ON_THERAPY_SURGERY_HIST_DIAG	ASTROCYTOMA MALIGNANT NOS	ASTROCYTOMA MALIGNANT NOS		ASTROCYTOMA MALIGNANT NOS
ON_THERAPY_SURGERY_HIST_DIAG	BREAST CANCER INVASIVE NOS	BREAST CANCER INVASIVE NOS		BREAST CANCER INVASIVE NOS
ON_THERAPY_SURGERY_HIST_DIAG	MALIGNANT OLIGODENDROGLIOMA	MALIGNANT OLIGODENDROGLIOMA		MALIGNANT OLIGODENDROGLIOMA
ON_THERAPY_SURGERY_HIST_DIAG	TBD	TBD		TBD
ON_THERAPY_SURGERY_HIST_DIAG	NONE	NONE		NONE
ON_THERAPY_SURGERY_HIST_DIAG	GBM with necrosis	GBM with necrosis		GBM with necrosis
ON_THERAPY_SURGERY_HIST_DIAG	GBM	GBM		GBM
ON_THERAPY_SURGERY_HIST_DIAG	anaplastic oligodenroglioma; glioblastoma multiforme	anaplastic oligodenroglioma; glioblastoma multiforme		anaplastic oligodenroglioma; glioblastoma multiforme
ON_THERAPY_SURGERY_HIST_DIAG	recurrence	recurrence		recurrence
ON_THERAPY_SURGERY_HIST_DIAG	GBM + radiation injury	GBM + radiation injury		GBM + radiation injury
ON_THERAPY_SURGERY_HIST_DIAG	malignant glioma	malignant glioma		malignant glioma
ON_THERAPY_SURGERY_HIST_DIAG	foreign body granuloma	foreign body granuloma		foreign body granuloma
ON_THERAPY_SURGERY_HIST_DIAG	Gemistocytic Astrocytoma	Gemistocytic Astrocytoma		Gemistocytic Astrocytoma
ON_THERAPY_SURGERY_HIST_DIAG	subtotal x 2	subtotal x 2		subtotal x 2
ON_THERAPY_SURGERY_HIST_DIAG	mixed oligoastrocytoma	mixed oligoastrocytoma		mixed oligoastrocytoma
ON_THERAPY_SURGERY_HIST_DIAG	abcess/infection arteritis	abcess/infection arteritis		abcess/infection arteritis
ON_THERAPY_SURGERY_HIST_DIAG	malignant astrocytoma	malignant astrocytoma		malignant astrocytoma
ON_THERAPY_SURGERY_HIST_DIAG	anaplastic oligodenroglioma with necrosis	anaplastic oligodenroglioma with necrosis		anaplastic oligodenroglioma with necrosis
ON_THERAPY_SURGERY_HIST_DIAG	oligodenroglioma and radiation necrosis	oligodenroglioma and radiation necrosis		oligodenroglioma and radiation necrosis
ON_THERAPY_SURGERY_HIST_DIAG	Atypical oligodenroglioma; anaplastic oligodenroglioma x 2	Atypical oligodenroglioma; anaplastic oligodenroglioma x 2		Atypical oligodenroglioma; anaplastic oligodenroglioma x 2
ON_THERAPY_SURGERY_HIST_DIAG	necrosis; GBM	necrosis; GBM		necrosis; GBM
ON_THERAPY_SURGERY_HIST_DIAG	atypical oligodenroglioma	atypical oligodenroglioma		atypical oligodenroglioma
ON_THERAPY_SURGERY_HIST_DIAG	anaplastic gemistocytic glioma; gemistocytic glioma	anaplastic gemistocytic glioma; gemistocytic glioma		anaplastic gemistocytic glioma; gemistocytic glioma
ON_THERAPY_SURGERY_HIST_DIAG	NO	NO		NO
ON_THERAPY_SURGERY_HIST_DIAG	undifferentiated malignant glioma	undifferentiated malignant glioma		undifferentiated malignant glioma
ON_THERAPY_SURGERY_HIST_DIAG	radiation necrosis	radiation necrosis		radiation necrosis
ON_THERAPY_SURGERY_HIST_DIAG	GBM and radiation necrosis	GBM and radiation necrosis		GBM and radiation necrosis
ON_THERAPY_SURGERY_HIST_DIAG	CRN + minimal residual GBM	CRN + minimal residual GBM		CRN + minimal residual GBM
ON_THERAPY_SURGERY_OUTCOME	UNKNOWN	UNKNOWN		UNKNOWN
ON_THERAPY_SURGERY_OUTCOME	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
ON_THERAPY_SURGERY_OUTCOME	UNCLASSIFIED	UNCLASSIFIED		UNCLASSIFIED
ON_THERAPY_SURGERY_OUTCOME	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
ON_THERAPY_SURGERY_OUTCOME	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
ON_THERAPY_SURGERY_OUTCOME	ASTROCYTOMA	ASTROCYTOMA		ASTROCYTOMA
ON_THERAPY_SURGERY_OUTCOME	OLIGODENDROGLIOMA	OLIGODENDROGLIOMA		OLIGODENDROGLIOMA
ON_THERAPY_SURGERY_OUTCOME	GLIOMA	GLIOMA		GLIOMA
ON_THERAPY_SURGERY_OUTCOME	NONE	NONE		NONE
ON_THERAPY_SURGERY_OUTCOME	subtotal	subtotal		subtotal
ON_THERAPY_SURGERY_OUTCOME	radiation necrosis	radiation necrosis		radiation necrosis
ON_THERAPY_SURGERY_OUTCOME	recurrence	recurrence		recurrence
ON_THERAPY_SURGERY_OUTCOME	Gross Total	Gross Total		Gross Total
ON_THERAPY_SURGERY_OUTCOME	NO	NO		NO
ON_THERAPY_SURGERY_OUTCOME	NASS	NASS		NASS
ON_THERAPY_SURGERY_OUTCOME	GLIOBLASTOMA MULTIFORME	GLIOBLASTOMA MULTIFORME		GLIOBLASTOMA MULTIFORME
